[0, 0, 0, 1, 0, 1, 2, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [205, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [105, 0, 16, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 253], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [5, 0, 16, 23, 16, 1, 2, 1, 0, 323], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 16, 31, 16, 1, 2, 2, 0, 531], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [330, 0, 18, 31, 16, 1, 2, 2, 0, 532], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [795, 0, 20, 31, 16, 1, 2, 2, 2, 707], 'reward': 18.72763049667292, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 1, 2, 3, 2, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [100, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 256], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [575, 0, 16, 31, 16, 1, 2, 1, 0, 524], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [425, 0, 18, 31, 16, 1, 2, 1, 0, 525], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [325, 0, 18, 31, 16, 1, 2, 1, 0, 526], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [980, 0, 20, 31, 16, 1, 2, 2, 2, 773], 'reward': 9.67940081407284, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 1, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [195, 0, 15, 23, 15, 1, 1, 0, 0, 232], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [105, 0, 16, 23, 15, 1, 1, 0, 0, 233], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 253], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [595, 0, 16, 31, 16, 1, 2, 1, 0, 520], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [500, 0, 18, 31, 16, 1, 2, 1, 0, 521], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1175, 0, 20, 31, 16, 1, 2, 1, 2, 769], 'reward': 10.074424655013587, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 1, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 253], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 315], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [420, 0, 16, 31, 16, 1, 2, 2, 0, 509], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [320, 0, 18, 31, 16, 1, 2, 2, 0, 510], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [835, 0, 20, 31, 16, 1, 2, 2, 2, 698], 'reward': 20.49129168419294, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 1, 3, 2, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [5, 0, 16, 23, 15, 1, 2, 1, 0, 253], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [575, 0, 16, 31, 16, 1, 2, 1, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [435, 0, 18, 31, 16, 1, 2, 1, 0, 512], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [335, 0, 18, 31, 16, 1, 2, 1, 0, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [995, 0, 20, 31, 16, 1, 2, 2, 2, 760], 'reward': 11.023176380641601, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 1, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 255], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [560, 0, 16, 31, 16, 1, 2, 1, 0, 516], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [460, 0, 18, 31, 16, 1, 2, 1, 0, 517], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1115, 0, 20, 31, 16, 1, 2, 1, 2, 765], 'reward': 10.485569724727576, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 2, 1, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [5, 0, 16, 23, 15, 1, 2, 1, 0, 274], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [5, 0, 16, 23, 16, 1, 2, 2, 0, 320], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [410, 0, 16, 31, 16, 1, 2, 2, 0, 520], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [310, 0, 18, 31, 16, 1, 2, 2, 0, 521], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [645, 0, 20, 31, 16, 1, 2, 2, 2, 649], 'reward': 33.44826778394492, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 2, 3, 1, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [185, 0, 15, 23, 15, 1, 1, 0, 0, 232], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [45, 0, 16, 23, 15, 1, 1, 0, 0, 233], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [480, 0, 16, 23, 16, 1, 2, 2, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [385, 0, 18, 23, 16, 1, 2, 2, 0, 512], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [285, 0, 18, 23, 16, 1, 2, 2, 0, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [665, 0, 20, 31, 16, 1, 2, 2, 2, 659], 'reward': 30.265244259400085, 'action': None, 'done': True})

[0, 0, 0, 1, 0, 2, 2, 3, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
