(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(3, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 2], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(0, {'state': [0, 0, 12, 15, 12, 1, 1, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(1, {'state': [0, 0, 12, 15, 12, 1, 1, 0, 0, 102], 'reward': 0, 'action': None, 'done': False})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})


(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})


(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [75, 0, 12, 23, 12, 1, 1, 0, 0, 163], 'reward': 0, 'action': None, 'done': False})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})


(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': 0, 'action': None, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(2, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})


(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': 0, 'action': None, 'done': False})
(2, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 2], 'reward': 0, 'action': None, 'done': True})


(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(1, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 45], 'reward': 0, 'action': None, 'done': False})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})

(3, {'state': [50, 0, 12, 15, 12, 1, 0, 0, 0, 1], 'reward': 0, 'action': None, 'done': True})


