(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 15, 15, 15, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 16, 23, 16, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 16, 1, 2, 1, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [5, 0, 16, 23, 16, 1, 2, 2, 0, 274], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [525, 0, 18, 23, 16, 1, 2, 2, 1, 516], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [425, 0, 18, 31, 16, 1, 2, 2, 1, 517], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [325, 0, 20, 31, 16, 1, 2, 2, 2, 518], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [685, 0, 20, 31, 16, 1, 2, 2, 2, 661], 'reward': 11155, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 16, 23, 16, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 280], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [500, 0, 18, 23, 16, 1, 2, 2, 1, 516], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [400, 0, 20, 23, 16, 1, 2, 2, 2, 517], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [760, 0, 20, 23, 16, 1, 2, 2, 2, 654], 'reward': 11202, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 16, 23, 16, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [660, 0, 18, 23, 16, 1, 2, 1, 1, 512], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [510, 0, 18, 23, 16, 1, 2, 2, 1, 513], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [410, 0, 18, 31, 16, 1, 2, 2, 1, 514], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [310, 0, 20, 31, 16, 1, 2, 2, 2, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [950, 0, 20, 31, 16, 1, 2, 2, 2, 761], 'reward': 10497, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 15, 15, 15, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 16, 23, 16, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 16, 1, 2, 1, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [680, 0, 18, 23, 16, 1, 2, 1, 1, 516], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [530, 0, 18, 23, 16, 1, 2, 2, 1, 517], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [435, 0, 20, 23, 16, 1, 2, 2, 2, 518], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1090, 0, 20, 23, 16, 1, 2, 2, 2, 765], 'reward': 10471, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 15, 15, 15, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 16, 23, 16, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 16, 1, 2, 1, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [660, 0, 18, 23, 16, 1, 2, 1, 1, 514], 'reward': -1, 'action': 3, 'done': False})
