(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [5, 0, 16, 23, 15, 1, 2, 1, 0, 274], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [525, 0, 16, 23, 16, 1, 2, 2, 0, 516], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [425, 0, 18, 23, 16, 1, 2, 2, 0, 517], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [325, 0, 18, 23, 16, 1, 2, 2, 0, 518], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [685, 0, 20, 31, 16, 1, 2, 2, 2, 661], 'reward': 11155, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 280], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [500, 0, 16, 23, 16, 1, 2, 2, 0, 516], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [400, 0, 18, 23, 16, 1, 2, 2, 0, 517], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [760, 0, 20, 23, 16, 1, 2, 2, 2, 654], 'reward': 11202, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [660, 0, 16, 23, 16, 1, 2, 1, 0, 512], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [510, 0, 18, 23, 16, 1, 2, 1, 0, 513], 'reward': -1, 'action': 2, 'done': False})
